lable_bert,label_lr,text
LMO,VEC,Piero el stentaa a crede.
SC,SCN,S'adderezzaie Si drizzò sulla persona.
VEC,LMO,"No ve digo, sciora diretora, ce contente che i ea chi doi borsoi, de chel che l à deziso sa pare;"
VEC,NAP,"Oi, llà llà!"
LLD,VEC,Ei pardù ra pajina 24!
LLD,VEC,"El no n à pi l zarvel, eco parcé:"
SC,LIJ,Sun senpre arestòu ertu cumme 'n tappettu.
LIJ,ROA_TARA,"ma ün mariunettu maavegiuzu ch'u sacce ballâ, scrimî e fâ i sati murtali."
SC,NAP,"... tutta neonne!... E dei fiorì, delle farfalle, del cielo azzurro e del canto degli uccelli... che mi dici?"
VEC,LMO,"Parcé no me l alo dito ignante?Ades che saé, par piazer, no me betede pi coscì in su."
NAP,LIJ,E pe sta furia mia t'aggio perduta!
LIJ,SCN,"criò u Muchettu, driçanduse in pê."
VEC,LLD,I podarà vienì inze zenza festide e i vedarà da soposta che ca no n é propio nuia da portà via.
EML,SCN,Quìllu jurn pùr mamm chiagnév.
LLD,PMS,"Ra ondes es laaa 'sò l ponte de ra nae da na stangada a r outra, e l vento l sbreaa 'sò i brascioi come stecadentes."
VEC,LMO,"sì come misier Nicollò e misier Mafio Pollo, zitadini de Veniexia, andò inprimamente in Chostantinopolli, e dapuo' in Soldania, e possa là dove era Barcha Achaan;"
VEC,LMO,digo che i chavalchano i zervi.
PMS,VEC,Vardà chel brascion a man dreta.
SC,VEC,"Non dà l'idea, il nonnetto, che sappia far qualcosa, ed è repellente per come si presenta."
LIJ,LMO,Ma u mariunettu u gh'aiva u santu in corpu.
VEC,LMO,Anchora àno i Tartari una uxanza chusì strania:
LIJ,PMS,Questo glande essele Fag Tut Mi e questo piccolo invece Son
EML,LLD,"Wellington, t î na caråggna!"
LMO,LLD,"'Sente che aarae abù acaro sin stà a pensà ma, gouja i automobiles, i no ciataa site chiete;"
LLD,VEC,"co ra sò machina noa sul trepié e na bela racolta de fotografies par fei vede ce braa che r ea, ra Olpe ra se bete daejin de un gran purinei."
LMO,FUR,ades cassù el paron son ió.
LIJ,NAP,"rispundeiva u mariunettu, scrulandu e spalle e tucanduse cuu diu éndexu in mezu aa frunte, cumm'a dî:"
LLD,VEC,Kum l à fato ciamà l Prin Consilier Men.
VEC,LMO,Cominciamo dai Doni... Nostro Signore Iddio ti ha dato il sole;
SCN,VEC,si fa prima e risparmiate molto danaro!
VEC,LMO,Chome el signior d'i Tartari se volse aparentar chon Prete Zane.
LMO,PMS,"Ch'a m'un sia sbajae va là, a j'arcaunt:"
NAP,LMO,Punt e tacch Sott e sóp tutt u jùrn a sfruv'cià!
LIJ,PMS,Aa fin u disse:
SCN,VEC,Tuta questa provinzia è pur sabion.
LIJ,NAP,Int'aùsto In agosto.
VEC,EML,Par èser pió prezîṡ:
LIJ,VEC,"Inze ra traersa r aea un pomo, ra sò zena;"
VEC,LLD,"veciote che i aea stories da contà, ma negun i scotaa e in ciasa par lore no n ea pi piaza;"
LMO,FUR,e dute i ridea come mate.
VEC,LMO,podaraesto me proede nafré de pan?
VEC,NAP,"Vana è la speme di sfuggir la pena, accenti, lapsus, finanche interpunzioni, qualunque fallo la chiama nell'arena dure ma giuste son le sue punizioni."
SCN,LIJ,"Arvime, te diggu!"
LIJ,SCN,"U Pinocchiu, ch'u sentì u bullu e i schitti de l'ægua, u criò riendu e cuntinuandu a curî:"
LIJ,SCN,"... U Geppettu u rifà i pê ou Pinocchiu, e u vende a so cazacca pe acatâghe l'Abecedaiu."
NAP,ROA_TARA,ca staie ntanato dint'a nu pertusillo 'e nu spicolo 'e muro.
LIJ,NAP,E che c' hê miso 'ncoppa?
VEC,LLD,Ca no poi fei vienì inze negun.
LMO,VEC,"El ponpier el sin và, nafré avelì."
NAP,VEC,E lla chovertura tuta de rame:
LLD,VEC,El leon el và a 'suià a ra bales co l orso:
LLD,FUR,"Sei ben che sé dute doi in ciasa, l à dito l loo,"
LIJ,VEC,sun stüffu de fâ senpre u mariunettu!
LLD,VEC,"L ea dreto, magro, tristo e canaia."
LLD,LIJ,I musee i ea pies de i sò cuadre e ra 'sente ra 'sia a i vede vorentiera.
LLD,NAP,I jate i à tajù e i à sentù un ouzeluco sun un ramo che l ciantaa ra sò canzon a ra luna.
LIJ,VEC,I pani de seda e d'oro ch'èno diti musolini se fano in quella provinzia.
LLD,LMO,venzea chel che l contaa ra storia pi curta.
LLD,VEC,"I é restade là doi dis e doa notes, e canche l é fenì ra sboera, l marcante l à dito:"
LLD,VEC,"Coscita ra pizora r é 'suda su sul brascion, r à enpi l zesto de frute e r à fato par sin tornà a ciasa."
VEC,LLD,"Ma te preo, l i responde un outro."
LLD,VEC,Ra femenes che es vienia a vede l pizo es dijea:
LMO,VEC,Ra 'sente r é restada de stuco.
LLD,PMS,No i ei respondù gnanche al professor.
LIJ,LMO,Quetite Grillüççu de cattiva növa!
LLD,VEC,"Ma da i nanete, ves ra marina Biancognee r é deboto na stela."
LMO,VEC,De queste bestie gi n'è grande abondanzia.
NAP,VEC,"E tu, forse, mm' 'è visto."
LIJ,SCN,"E u Pinocchiu, düu!"
NAP,ROA_TARA,Miett' annanzi tutt' 'e sveglie
EML,FUR,Tôr só una scuciarè ed cèr muntè e pugèrla int al tegâm dal lât.
VEC,LLD,"Al loo i é vienù na gran stiza, ma l à fato finta de nuia e l à respondù:"
LMO,NAP,A sér a 'ttard u spèr dint a chiùs e i colp inàrij Quanta ch'lùr!
NAP,SCN,Dille ca io stongo ardenno!
VEC,LIJ,"Se la vostra salterà sora quella de Prete Zane, nui averemo la vitoria;"
SCN,SC,A m'ha remissu ou mundu.
NAP,VEC,"Ma scherzate, dottore?"
LLD,NAP,ra 'sente ra vo danoo l gnee bianco.
EML,LMO,"I padrón i dmandénn parair a Gino, ch'al gé la veritè:"
SCN,LLD,Sun mi! rispuze u mariunettu.
LIJ,VEC,ra 'sente inveze r ea beata.
VEC,PMS,e disse a Chinchis:
VEC,LLD,De questa zità verso sirocho se trova una zità ch'è apellata Singui;
NAP,LIJ,"Ah, malandreta!"
VEC,LMO,"e senta in tramontana, sì che lo vixo guarda per mezodì."
VEC,LLD,Inze un vede e no ede l é vienù fora duto un bateboi.
LIJ,VEC,"Ün de sti fuin, stacanduse dai so cunpæ, u l'andò dou pertüzu du cazottu e u disse suttuvuxe:"
LIJ,SCN,ripete' u mariunettu sâtandu sübbitu in pê Pinocchiu sun mi!
NAP,ROA_TARA,"Fòrse nan retername chìue o paése a dò n'aspéttene mèmme, megghìéire e figghie."
VEC,LIJ,El mar l ea ajità e l ea duto nool.
LIJ,LMO,ghe dumandò a Fue'.
NAP,VEC,"e portale siego là ho' 'li vano, ed èno sì ordenatamente ligate le stange insieme che i lle posono portar lievemente."
EML,LMO,Fèt l èṡen?
LLD,LMO,"un gnon, capiré, epò mangare anche ra cartela de ra steores!"
LIJ,LMO,E domandòlli della condizion de' Latini molto sotilemente:
ROA_TARA,LLD,"Dute inze piaza, dute inze piaza!"
FUR,LMO,"Ma intant la incomprension, la pache, la esclusion e à fat sanganâ cualchidun."
LIJ,SCN,doppu u ghe disse:
PMS,LLD,"Asto nafré de stornità?Propio coscì, sciora Felizita."
LLD,VEC,"Sul bancal de ra funestra, inveze de fregores par i ouzeluche, el bete carameles pa ra famea."
VEC,SCN,El chalifo sì li dè' do partiti:
SCN,NAP,Cumm'aggia fa cu soreta?
NAP,SCN,'Rr'nghjév u fèrr ch' vrèsc e carvunèll p' st'rà.
LIJ,PMS,Te ne tucchiâ quant'a 'n aze!...
EML,PMS,"Dal 1990 ai vgnêva fòra Al fatâz di Żardén Margarétta (La Flèvia), cunpilè par Tamari ed Bulåggna da Francesco Guccini e Gianni Menarini."
LIJ,VEC,Scignuria... e tanti salüti a caza.
LIJ,VEC,"et sono bianchi e negri, e 'l pello è bon e longo tre spane."
EML,LMO,"E s'a l avéssen da acatèr a in magnaràn dåuftléṅni insàmm, in bôna cunpagnî."
VEC,LMO,El professor l é stremì:
LIJ,VEC,"u s'intenerì, u se cumosse;"
NAP,VEC,In questa zità è uno grandenisimo palazo de marmoro e de piere vive.
NAP,PMS,"Benedetto, ma ch'e ssuccieso, neh!, che v'e accaduto?"
NAP,SCN,Oggi ci starrà 'o sole'
LLD,VEC,"Dà ordin a dute de caminà a testa outa!l à dito, e intanto l tormentaa chel por Men col atrezo che l doraa par passà l tenpo."
SCN,NAP,Sarrà cchiu' fridd' a La Mesa?a mia Para Comer
NAP,VEC,"E lle suo' montagnie sono deverso mezodì, e sono molto alte e grande et sono tute de sal."
LLD,LMO,Da da sera l é spontà ra luna.
LLD,PMS,Meo ignante de ra fin de l an.
LIJ,ROA_TARA,"Nan è néinde, è male d'amòre."
VEC,LLD,Voi i tò sode (El souta inze par funestra).
VEC,NAP,"L'instade stano in montagnia in luogi fredi, in valle, ove i trovano boschi e pàscholi."
NAP,VEC,E scuro scuro 'o treno ca parte da 'o sud.
NAP,SCN,E 'o coro ha dda di':
VEC,NAP,"Susuto Alzato, levato."
LIJ,SCN,Figüæve u povou Pinocchiu!
SCN,VEC,Da quiddru juornu la bèlla fata se chiamavu Béfana.
LIJ,NAP,et è molto bella bestiolla.
LMO,PMS,L'è l'instaeda ch'l'a m froiga:
LMO,FUR,"Cece, Charli, Walter e mè."
VEC,LLD,Betarae na stela propio inze meso l zielo e i dajarae ordin a duta ches outres de fei l 'sirotondo.
LLD,VEC,"Specio, specio che te disc ra verità dime, ci elo ra pi bela de chesta zità?"
EML,PMS,ala nòt la dsfèva la taila ch'la filèva al dé.
LLD,SC,"gnanche i no me abada, i no me tira mai ra coda e i no me damanda braures come sporse ra zatuca o leà su su ra zates daos."
SCN,LIJ,"Ma mi u ruziggiu nuu mangiu davei!... sbraggiò u mariunettu, regjanduse cumme 'na vippera."
LIJ,SCN,ma lu prèutu parlava sèmbe de la trippa e nu la fenia chiù.
LIJ,NAP,"e u scrullò 'n pitin a testa, cumm'a dî:"
NAP,VEC,"Eli tornò al papa molto volentiera, e misier lo papa li rezevete aliegramente et dè'lli le suo' letere le dovesse portar al Gran Chaan."
VEC,LLD,Coscita l é vienù scuro.
LIJ,SCN,I nostri cunti i agiüstiemu duman.
LLD,VEC,Men l à cognù ciamà i astronome e i astrologhe del palazo par fei parsuaso Kum che anche se ra luna r ea soa se r aarae veduda solo doi dis dapò.
VEC,LMO,Ṡgavâgntla mò da par té!
LMO,ROA_TARA,"ma mö besögne fé féste é ddäerse ô priesce, ca cüsse frate tóu jérre muerte é va vvevesscióute, se jérre perdóute é hé state retruate."
PMS,ROA_TARA,Pur jòj è jì a fatijà!!?
LMO,VEC,El professor l é deboto 'sò in son de sciara.
SCN,LLD,Ti te n'acapisci ti de pusu?
LIJ,VEC,Quello ch'è signiore de zento à tavola d'arzento;
LIJ,SCN,ge n'è altrosì cristiani nestorini.
PMS,LLD,Coscita stajaré boi dute doi.
LLD,VEC,"ra rujes es no n é bicicletes, ma es somea tante copertoi tacade un pede l outro."
SCN,NAP,Primme battuzate du mariunettu.
LLD,SC,"boles con daos cola che sà da menta, ratafià, sfrees, ua spinela, dute da lense 'sò come carameles."
LLD,SC,"In chera, su ra teraza l é spontà su na sorizeta grija."
VEC,NAP,"E che l à dito un vetural, nun ve abbastano li sorci, mo vve volete magnà puro le stelle?"
LMO,FUR,"Cece, Charli, Walter e mè."
LIJ,LMO,Ballastia è una provinzia che à lenguazio per si.
VEC,LIJ,Quelli de questa contrà àno chotal uxanza:
VEC,LMO,Or s'aveva lui medemo trato fuora l'ochio dreto per la chaxione ch'io ve dirò.
VEC,PMS,Ma na cosa te resta:
VEC,LMO,"Taiame na janba, se propio voré algo de mè."
VEC,LMO,"Damandi algo, nona i digo ió."
LMO,VEC,"Non cambia inflessione la voce spietata, non c'è rammarico o gioia nell'ineluttabile:"
EML,PMS,As tôl trai ôv frasschi e as métt äl cèr int na taréṅna.
EML,LMO,"Angiolîno, col bôni manîr, al fà:"
LLD,VEC,"Ma ra storia se r à sapuda alolo, e calche dì dapò anche i foreste che passaa par Huma i à inparà a sbassà ra testa e vardà 'sobas."
VEC,NAP,"papa, te voglio bene."
NAP,EML,"Comungue, tòtt'a squàdre ha sciucáte bbuéne!"
VEC,LLD,"Duto sustà l i r à sbreada fora de man, el r à daerta, l à lieto."
LLD,VEC,"Intanto, Biancognee ra crescea e ra deentaa senpre pi na bela e na bona."
LIJ,SCN,criò u Pinocchiu sâtàndu da l'allegreçça.
LIJ,SCN,dumandòn ou Pinocchiu.
VEC,LIJ,"Sentì mo, scior scultor dei corne:"
LMO,VEC,"Ió i l ei dito al mè nino Pini, che l m à mandà sta letra ca:"
LLD,VEC,Ci aralo abù r idea de tacà su dute ste zapote sul mè brascion?
LMO,PMS,sa che caeld dal volti a vagh via s e' panciòt e i suld jarvaenza ma caesa t e' giubètt.
NAP,LMO,"So pruverbie, so stornell D' mumient brutt e bell Mocch a li uagnun No li sent chiù nisciun Scenn scenn, scenn scenn Von scumparenn."
EML,VEC,E d's'gnèt na spasèll e sóp tanta r'cchj'tèll!
SCN,NAP,M'ha lassato.
LIJ,SCN,"Eviva u Pinocchiu!... Pinocchiu, vegni chì sciü da mi!"
SC,VEC,Qual'è il segreto del vostro amore desto?
LMO,VEC,"Daerseme, porzeluche, ei siede."
LLD,VEC,"Gnanche el el no n aea tropa voia de lourà, ma el no n ea un cu duro come sò fardel."
VEC,LIJ,quello è il Liceo Vittorio Emmanuele:
VEC,NAP,Ma che ve sentite?
LIJ,SC,Mi mancu... suzunse u bun vegiu faxenduse tristu.
LMO,EML,Ma a la fîn i' ho pensâ ch'l'îva ragiûn;
VEC,LLD,"El vecio l se r aea ormai betuda via, e l fejea el fietra zenza se lagnà:"
VEC,LLD,"l à dito chel por diou, duto intrigà."
SC,NAP,"Racconto di un contrabbandiere, Palomba Michele, classe 1930, nato a Torre del Greco."
VEC,LLD,el s à damandà.
LLD,VEC,Se ei da dì ra verità ra i à respondù ra Sardegna gnanche no sei agnoche son pontelada.
LLD,VEC,"Ei propio pardù ra passienza, porzeluche, e ei na gran fame."
LLD,VEC,"D ausciuda, inze meso l verde, iusto inze meso ra testa, l é spontà na bela bonazena 'sala."
EML,LMO,E fatt u sól ch' tutt i ragg nu p'dalètt e na scorc furmagg!
VEC,LMO,Voglio prenotà Oregon Electric Station a North City
SCN,LIJ,Niatri anemmu aa spiagia a veddilu.
SC,SCN,"Una vita d'amore, di forti interessi e passioni, ed in fondo."
NAP,SCN,a l' ùurte stèie lu giòvanòtte è ce lu vùie tu vòggh' a pegghièue;
EML,FUR,Di mirâcuel d ôr zechén e bâsta!
LIJ,SC,"A quella segunda scuriâtâ u Pinocchiu, pe prüdença, u se quêtò sübbitu e u nu disse atru."
NAP,LMO,"Passò n'aure, pò mmézza scernate e le paréinde, che ènzie, aspettavene ind'a la checéne."
PMS,NAP,"Nan zacce chìue amaie, lendane vaiche òumene còme a mè, neméce."
LLD,VEC,Ste 'sire l scior Venceslao l i fesc senpre ves sera.
NAP,ROA_TARA,"Tu Sand'Andònie ch'lu tùie porcellìne staie ngùrunuàte 'ngièle ch' lu Buammìne, 'ndèrra m'nìste ch' tànda gloria e fàng' ngrassà, oie Sand'Andònie."
NAP,VEC,Ricuordam' e ì a d''o' mierec' o' 21 agosto e 3 d''o pomeriggio
VEC,ROA_TARA,"A chi risponde, lui offre il suo servizio."
NAP,PMS,A ngav'darm o sòl! Nu cafòn m'à 'nz'nghèt a camm'nà scav'z sòp e prét e dìnt vìgn.
SCN,NAP,e ghiette addu lucia:
LLD,VEC,E l specio l i à respondù:
FUR,ROA_TARA,No sone un bon strion?
LLD,LMO,"ci vo i pès, parceche Ricardo l s i à desmenteade, un caal el vo ra coda parceche l disc che un caal zenza coda l no và ben;"
VEC,PMS,Non umiliante obolo elargito per pietà.
LLD,FUR,Doa monedes de arsento!
LIJ,NAP,(ra sgnoufa).
LLD,VEC,"Daante de el, sora na poltrona de oro piena de perles, l ea scentà ra sò femena."
LMO,LIJ,"do da cinquaenta, éun da dis, do da zoinch e eun da dò... mò nò, a i n'un dagh do da éun."
NAP,ROA_TARA,É u figghje decétte:
LMO,LLD,El ge n'è tre zità e chastelle assai;
LLD,VEC,Par nos r é fenida.
SCN,LIJ,ripete' u Gattu.
VEC,NAP,È sepordo il nostro affetto.
LLD,VEC,"Ra disc che l brite agnoche stajon l é babo e l sin toma in cu, e ra vo na ciasa da cristiane."
LLD,VEC,Ci alo dorà l mè cortel?l à dito l cuarto.
NAP,LMO,"Cammiscia 'bbianch, a scòll e u cav'zón curt."
SC,NAP,"criò quelli battuxi, scunpiscianduse dae matte rizate:"
LLD,VEC,Dapò de nafré l ea deentà un afar;
ROA_TARA,NAP,Fronne e frunnelle!
LLD,VEC,I disc che son ormai massa largo.
VEC,NAP,"e sse la soa salterà sopra la vostra, lui averà vitoria."
NAP,ROA_TARA,"Ce ièmma fò ne ciambòtte bòune, a la chiazze ava scé u nònne, idde le pisce le sòpe ségghie."
SCN,LIJ,Dunde ti me porti?
LLD,VEC,"ra i à dito ra femena, come l bisc."
LMO,LLD,El prin che s à betù a ride l é stà Gian Luigi.
NAP,VEC,"C'era 'a musica, la banda 'mpupazzata in gran galà, le Signore si ciaciàvano, tutte quante in taffettà."
LMO,LIJ,Son coscì infamentada che pelucarae anche sasc.
NAP,ROA_TARA,"Nunne, attane e mèmme, nan ònna chiènge."
SCN,LIJ,Mæ rispetabbili ôdituî!
ROA_TARA,PMS,Cé te pòzze déce:
SCN,NAP,Il suo mezzo di lavoro!
LLD,VEC,"Na ota ra nae r é 'suda a petà su par un iceberg, un de chi tocoi de jaza che stà par sora r aga del mar."
LMO,LLD,Cardee che te fosses solo bona de rugnà col tò Etna.
SCN,NAP,"E tu, luna serena, luna doce e gentile, tu falla ntenerì."
LLD,VEC,"Ra ondes es s à chietà via, ma poco dapò ra sboera r ea pi forte de ignante."
ROA_TARA,FUR,"Fatéghe, guadègne, mènge e vève ma sénde da taie sémbre la nostalgéie."
LIJ,LLD,"Anche mo' è in quella provinzia sul mare una zità ch'à nome Laglaza, la qual è zità de gran merchadantia."
NAP,VEC,Tempeste tropicali 'e Caraibi
LIJ,VEC,Et ène de molti beli palazi e molte belle chaxe e albergi.
LLD,VEC,"Es s à nanà nafré a man dreta e nafré a man zanca,"
SCN,LIJ,Tiu veddi quellu mariunettu apiccòu a 'n rammu da gran Ruve?
VEC,LLD,"Negun, negun l à 'sontà l cuinto."
NAP,PMS,É accumendzéerne à ffé féste.
NAP,VEC,"Oiuto mare, e sto ca ci elo?"
LIJ,LLD,Pe quattru sodi te vendu u mæ rôbin.
LLD,VEC,es à dito ra pites.
SC,VEC,"Mi avvicinai, con passo lieve e onesto chiesi Chi siete e come vi incontraste?"
LIJ,LMO,"Queste è le chostume e lle uxanze de' Tartari, ma sì ve digo che i sono molto abastardadi:"
LIJ,SC,"In questa zitade se fano i zanbelloti de pello de ganbeli plui belli, che someglia li nostri;"
LLD,VEC,"Cemodo che ra vedo ió, el numero 000000003 l aarae da contentà sta 'sente ca."
EML,LMO,Soltànt äl dåulzi vairdi culén.
SCN,NAP,"E tèh la trippa!alluccavu, Na vota me l'aggi' accattata e tu fai sèmbe quiddru cundu."
LLD,LMO,"Sciore sassis, sbreame via ra onjes, sbreame 'sò i ciaei un par un, ma lasciame i mè sode, biei, de oro!"
NAP,VEC,E lla zitade è lla maor che sia in tuta Persia.
SCN,NAP,"Dimme Grillu, e ti chi t'ê?"
NAP,VEC,"E parla, vecchio brontolone!"
LLD,VEC,"A scotà l specio, ra rejina ra s à inbestià."
VEC,LMO,Te ghe portu mie e mi ghe disci:
VEC,LMO,"Virile abbraccio allor con lui scambiai, notai una lacrima poggiarsi sul suo baffo, Ma cè stè chiange?"
NAP,LMO,tutto se porta 'e me!
SC,VEC,Ades te sos infizà come un vecio de un milion de anes.
LMO,LIJ,"Ei râgnòu ben, e mi v'ho sübbitu ricunusciüi daa vuxe."
VEC,PMS,Cissà ce che es pensarà.
FUR,PMS,Fâm bn un imeil!
ROA_TARA,NAP,Pe tutte la véte disse Obblegòte sòche.
EML,LMO,Intænt ch'aspitìmi la campanèla Walter e cumpréva dù bomboloni e u j'infiléva tla bàursa.
VEC,NAP,"Chesta po, l à dito Mario."
LIJ,ROA_TARA,"Mædonnæ miæ, vestitæ celæste, æddurme u figghje mije e lìvele a væste;"
LLD,VEC,Smirbe l i responde l leon.
LLD,SCN,Ra luna ra bete 'sò i sò recorde.
LLD,VEC,L òn l i à dito riden:
LLD,VEC,Ra rejina noa ra fejea strionaries e inze na camera sconduda r aea un gran specio majico.
SCN,NAP,Chi s' 'a fatta 'a pippa mia?
LLD,VEC,"E r é restada de stuco, co ra s à sentù a responde:"
SCN,LIJ,"... Via, via disse l'ômettu nu perdemmu u nostru tenpu a 'miâ cianze 'n aze."
VEC,LMO,"e à el vixo biancho e vermegio chome ruoxa, e à ochi negri e bel naxo ben fato."
VEC,SC,Sun partii due ue fa.
VEC,LMO,"e chome el feva quando l'aveva grande briga, e a che modo ello andava in oste, et de anbasiarie et de tute altre cosse e chondizion."
LIJ,LMO,"Me l'ha urdinòu u megu, perché m'ho sgarbelòu in pê."
VEC,NAP,Egli viveno de charne e de late e de venaxion;
LMO,SCN,na fíl ca 'ng stocch.
VEC,LMO,"Per el seno e per i beli costumi ch'ell aveva, el fo in grazia del segnior."
VEC,FUR,I tocia se bete a tirà anche al machinista Adalgiso.
LLD,VEC,"ra bales, se sà, l é senpre ra cuces."
VEC,LMO,"Quando el fo coronato, tuti i Tartari che erano sparti per diverse chontrate vene a llui e fexeli reverenzia e obedienzia sì chome a suo signior."
VEC,LMO,"Voltave un iejo, e vardame solo canche ve l digo ió.I pize i se volta, epò i varda:"
LIJ,VEC,Desligæme sta ganba e mi via cuntiô.
ROA_TARA,NAP,Òtre ca tùtte quìdde cambètte a ddò sciáme a' dumèneche ca no' sso' bbuéne nemmànghe pe' fa' pascola' le pechére!
LLD,VEC,Propio come Pinochio che l i é scanpà de man a Bepeto l marangon e l à scomenzà a in fei de dute i colore.
LIJ,LMO,Dunca guâi a ti!
LIJ,NAP,eli viveno de merchadantie et d'arte.
LIJ,VEC,et sono grande inchantatori de diavoli:
LLD,VEC,"El loo catio l à abù da se ra mocà, senpre co ra chiza de ciapà chi tré borsoi."
LIJ,VEC,In retornare de Cremoxa a Chrerina è uno molto bello piano;
LLD,SCN,"Dajeve na prenta, Luitpoldo Luitpoldo l é l pi gros de dute, l suda e l sfiadazea, ma ra panza ra no en fora."
LLD,PMS,"cissà da agnoche ruaa chel soragnon...), Zozzetto, donca, l à damandà:"
LLD,LMO,"Ejisto, inpresteme i mostace, che ei da scarà ra biancaria."
VEC,LLD,Par me ra sghindà aee solo na roba da fei.
VEC,LIJ,Chusì fa quello ch'è chonseglier del signior di diexemilia e de mille o di zento.
LLD,VEC,"Ra ciasa r ea granda, ma i porzeluche i crescea in prescia, e un dì sa mare ra i à dito:"
ROA_TARA,VEC,"Ivve prezziòse durènde l'ùltema guèrre còndre l'Ameréche, la Fréngie e l'Ingheltèrre"
LLD,VEC,"Mosces in é senpre de manco, con dute i veles che i à inventà pa res copà."
LMO,EML,"Ben, dime ce che te dores e te scotarei anche sta ota."
VEC,LMO,e questa è reputata gran belleza in le done de quella contrada.
LLD,VEC,Vedon mo ci che l và pi in su l à dito l Cervino.
LIJ,VEC,"Dentro li religioxi de questa chontrà è grande deferenzia, ché ll'è de quelli che àno de molte moier et de queli che viveno in gran chastitate."
NAP,LMO,"Sarrà dispettosa o crudela, gelosa, scuntrosa."
LIJ,SCN,Da li a 'n pô sünnò a mezanötte:
NAP,SCN,"c'ha passata, guarda, è passata int'a l'eternità.."
SC,EML,"ed è molto bon a bevere, ed è apelato in soa lingua charanis."
VEC,LLD,Me scondarei inze l bosco e v inprometo che no tornarei mai pi inze l castel!
LMO,VEC,Poulino l se vargognaa de aé da 'sì intorno con erbates che es i ruaa fin sui oce:
SCN,VEC,"Noni, si no' me squagliu."
LIJ,SCN,perché u Pinocchiu u desteize a ganba sutta a tôa e u ghe cunsegnò 'na peççâ 'nti schinchi.
LMO,NAP,"'Ccuscì pùr 'llà, quand t' stràcch, t' pu'"
SC,LLD,"Asto vedù, che te sos stada scotada?"
LLD,VEC,Chesta invenze l é ra storia de un òn da ra barba longa.
NAP,ROA_TARA,"Ié nan zò fatte offèse a le neméce, e chire nan ònne fatte male a mè."
LIJ,VEC,Le piacciono le gatte ed à riempito casa nostra con un sacco di gatte;
SCN,VEC,Aggiungi Muzika za decu 'a playlist mia Crash Course
VEC,NAP,"Maritemo duttó, sulo maritemo!"
LMO,LLD,sei ben ió ce fei.
LLD,LMO,"l craia chel òn, sustà come se i aesse zapà sui pès."
LMO,EML,Masmamänt a cal tänp...
LMO,VEC,Ei nafré de stornità.
